name,positions,age,nationality
Eden Hazard,Midfielder (Centre),19 years old (08-05-1998),England
Marcos Alonso,"Defender (Centre, Left) 
 Midfielder (Left)",26 years old (28-12-1990),Spain
Diego Costa,Forward,28 years old (07-10-1988),Spain
N'Golo Kanté,Defensive Midfielder (C),26 years old (29-03-1991),France
Victor Moses,"Midfielder (Centre, Left, Right)",26 years old (12-12-1990),Nigeria
César Azpilicueta,"Defender (Centre, Left, Right) 
 Midfielder (Right)",27 years old (28-08-1989),Spain
David Luiz,"Defender (Centre) 
 Defensive Midfielder (C)",30 years old (22-04-1987),Brazil
Pedro,"Midfielder (Centre, Left, Right)",30 years old (28-07-1987),Spain
Gary Cahill,Defender (Centre),31 years old (19-12-1985),England
Cesc Fàbregas,"Midfielder (Centre, Left) 
 Forward",30 years old (04-05-1987),Spain
Nemanja Matic,Defensive Midfielder (C),29 years old (01-08-1988),Serbia
Willian,"Attacking Midfielder (Centre, Left, Right)",29 years old (09-08-1988),Brazil
Thibaut Courtois,Goalkeeper,25 years old (11-05-1992),Belgium
Oscar,"Attacking Midfielder (Centre, Left, Right)",25 years old (09-09-1991),Brazil
Nathan Aké,"Defender (Centre, Left) 
 Defensive Midfielder (C)",22 years old (18-02-1995),Netherlands
Branislav Ivanovic,"Defender (Centre, Right)",33 years old (22-02-1984),Serbia
Kenedy,Midfielder,21 years old (08-02-1996),Brazil
John Terry,Defender (Centre),36 years old (07-12-1980),England
Michy Batshuayi,Forward,23 years old (02-10-1993),Belgium
Nathaniel Chalobah,Defensive Midfielder (C),22 years old (12-12-1994),England
Kurt Zouma,"Defender (Centre, Right)",22 years old (27-10-1994),France
Ola Aina,Defender,20 years old (08-10-1996),England
Ruben Loftus-Cheek,Midfielder (Centre),21 years old (23-01-1996),England
Asmir Begovic,Goalkeeper,30 years old (20-06-1987),Bosnia-Herzegovina
Mousa Dembélé,"Midfielder (Centre, Right)",30 years old (16-07-1987),Belgium
Christian Eriksen,"Midfielder (Centre, Left, Right)",25 years old (14-02-1992),Denmark
Victor Wanyama,Defensive Midfielder (C),26 years old (25-06-1991),Kenya
Jan Vertonghen,"Defender (Centre, Left)",30 years old (24-04-1987),Belgium
Kyle Walker,"Defender (Right) 
 Midfielder (Right)",27 years old (28-05-1990),England
Ben Davies,"Defender (Centre, Left) 
 Midfielder (Left)",24 years old (24-04-1993),Wales
Toby Alderweireld,"Defender (Centre, Right)",28 years old (02-03-1989),Belgium
Harry Kane,"Attacking Midfielder (Centre) 
 Forward",24 years old (28-07-1993),England
Eric Dier,"Defender (Centre, Right) 
 Defensive Midfielder (C)",23 years old (15-01-1994),England
Harry Winks,Midfielder (Centre),19 years old (08-05-1998),England
Son Heung-Min,"Attacking Midfielder (Centre, Left, Right) 
 Forward",25 years old (08-07-1992),South Korea
Moussa Sissoko,"Midfielder (Centre, Right)",28 years old (16-08-1989),France
Georges-Kévin Nkoudou,"Attacking Midfielder (Left, Right)",22 years old (13-02-1995),France
Hugo Lloris,Goalkeeper,30 years old (26-12-1986),France
Vincent Janssen,Forward,23 years old (15-06-1994),Netherlands
Dele Alli,"Midfielder (Centre, Left)",21 years old (11-04-1996),England
Kevin De Bruyne,"Attacking Midfielder (Centre, Left, Right) 
 Forward",26 years old (28-06-1991),Belgium
Nicolás Otamendi,Defender (Centre),29 years old (12-02-1988),Argentina
Gabriel Jesus,"Attacking Midfielder (Left, Right) 
 Forward",20 years old (03-04-1997),Brazil
Sergio Agüero,"Attacking Midfielder (Centre, Left) 
 Forward",29 years old (02-06-1988),Argentina
Aleksandar Kolarov,"Defender (Centre, Left) 
 Midfielder (Left)",31 years old (10-11-1985),Serbia
David Silva,"Midfielder (Centre, Left, Right)",31 years old (08-01-1986),Spain
Vincent Kompany,Defender (Centre),31 years old (10-04-1986),Belgium
Yaya Touré,Midfielder (Centre),34 years old (13-05-1983),Ivory Coast
Fernandinho,"Defender (Right) 
 Defensive Midfielder (C)",32 years old (04-05-1985),Brazil
Ilkay Gündogan,Midfielder (Centre),19 years old (08-05-1998),England
Leroy Sané,"Midfielder (Left, Right)",21 years old (11-01-1996),Germany
Raheem Sterling,"Midfielder (Centre, Left, Right) 
 Forward",22 years old (08-12-1994),England
Gaël Clichy,Defender (Left),32 years old (26-07-1985),France
Bacary Sagna,"Defender (Centre, Right)",34 years old (14-02-1983),France
John Stones,"Defender (Centre, Right)",23 years old (28-05-1994),England
Pablo Zabaleta,Defender (Right),32 years old (16-01-1985),Argentina
Willy Caballero,Goalkeeper,35 years old (28-09-1981),Argentina
Nolito,Attacking Midfielder (Left),30 years old (15-10-1986),Spain
Fabian Delph,"Midfielder (Centre, Left)",27 years old (21-11-1989),England
Jesús Navas,"Defender (Right) 
 Midfielder (Right)",31 years old (21-11-1985),Spain
Fernando,Defensive Midfielder (C),30 years old (25-07-1987),Brazil
Kelechi Iheanacho,Forward,20 years old (03-10-1996),Nigeria
Claudio Bravo,Goalkeeper,34 years old (13-04-1983),Chile
Samir Nasri,Midfielder (Centre),19 years old (08-05-1998),England
Aleix García,Midfielder,20 years old (28-06-1997),Spain
Philippe Coutinho,"Midfielder (Centre, Left, Right)",25 years old (12-06-1992),Brazil
Roberto Firmino,"Midfielder (Centre, Left, Right) 
 Forward",25 years old (02-10-1991),Brazil
Sadio Mané,"Attacking Midfielder (Centre, Left, Right)",25 years old (10-04-1992),Senegal
Jordan Henderson,"Midfielder (Centre, Left, Right)",27 years old (17-06-1990),England
James Milner,"Defender (Left) 
 Midfielder (Centre, Left, Right)",31 years old (04-01-1986),England
Dejan Lovren,Defender (Centre),28 years old (05-07-1989),Croatia
Joel Matip,Defender (Centre),26 years old (08-08-1991),Cameroon
Adam Lallana,"Attacking Midfielder (Centre, Left, Right)",29 years old (10-05-1988),England
Emre Can,"Defender (Centre, Left, Right) 
 Defensive Midfielder (C)",23 years old (12-01-1994),Germany
Georginio Wijnaldum,"Midfielder (Centre, Left)",26 years old (11-11-1990),Netherlands
Nathaniel Clyne,"Defender (Right) 
 Midfielder (Right)",26 years old (05-04-1991),England
Simon Mignolet,Goalkeeper,29 years old (06-03-1988),Belgium
Lucas Leiva,"Defender (Centre) 
 Midfielder (Centre)",30 years old (09-01-1987),Brazil
Ragnar Klavan,Defender (Centre),31 years old (30-10-1985),Estonia
Daniel Sturridge,"Midfielder (Right) 
 Forward",27 years old (01-09-1989),England
Divock Origi,"Attacking Midfielder (Left, Right) 
 Forward",22 years old (18-04-1995),Belgium
Loris Karius,Goalkeeper,24 years old (22-06-1993),Germany
Alberto Moreno,"Defender (Left) 
 Midfielder (Left)",25 years old (05-07-1992),Spain
Marko Grujic,Midfielder (Centre),19 years old (08-05-1998),England
Trent Alexander-Arnold,Midfielder (Centre),19 years old (08-05-1998),England
